tract_fips10,stores,restaurants,bank_count,civsoc_orgs,religious_orgs,doctors,grocery_stores,libraries,he_green,he_walk,stops_per_capita,ed_prxhqece,ed_teachxp,job_density_2013,se_jobprox,high_skill_jobs,jobs_highpay_5mi_2015
36081018900,11,5,0,1,1,1,6,0,91,13.809476,2.4585126,3.9946003,24.378256,13547.619,18.034449,512,1671941
36081019000,4,3,0,0,2,0,7,0,73.099998,12.829887,2.5680534,1.7917595,38.313534,1643.8357,35.654007,70,116192
36081019200,0,0,0,0,1,0,0,1,74.199997,10.928705,1.6968326,1.7917595,38.390121,129.87013,46.915726,4,117231
36081019400,3,1,0,0,6,0,1,0,74.300003,13.730044,2.2065313,1.7917595,38.39735,241.37932,40.872726,19,120106
36081019600,1,5,0,0,7,0,7,0,78.699997,13.672939,1.9230769,1.7917595,38.320286,988.37207,48.07988,150,121355
36081019800,1,3,0,1,5,0,4,0,79.800003,13.914655,3.2490975,1.7917595,38.346291,462.5,39.445801,20,125843
36081019900,26,13,3,1,3,2,14,0,68.300003,13.167,16.420361,4.0784965,19.203371,14282.353,14.09396,1621,1722231
36081020200,3,0,0,1,1,0,0,0,73.5,13.167,1.2787724,1.7917595,38.41275,157.89473,39.228722,5,130041
36081020400,2,3,0,1,3,1,5,0,86.300003,16.057941,6.3819342,1.7917595,38.370766,9675.6758,47.197105,208,132205
36081020500,5,2,1,0,2,1,4,0,87,12.246556,8.3420229,3.9491413,18.340738,21305.676,23.645969,87,1662149
36081020600,3,1,0,1,2,0,2,0,88,17.5,5.9084195,1.7791992,38.411476,796.61017,45.240639,0,135372
36081020800,8,14,0,1,3,2,13,0,88.800003,16.736832,6.3103192,1.7821901,38.389484,5565.8535,47.36446,84,137753
36081021200,11,17,1,3,7,9,22,0,88.699997,18.022511,5.1258155,1.7429298,37.162949,10488.889,45.930775,434,141810
36081021400,9,13,2,2,3,7,18,0,85.800003,17.292841,1.6080043,1.818907,35.492729,6310.3452,48.315285,444,155860
36081021600,8,8,2,5,5,19,11,0,54.400002,15.562942,2.3084026,1.9363101,28.484423,7219.6079,31.124723,2610,167912
36081022001,9,3,0,2,1,7,1,1,63.599998,11.004279,0.16084928,1.8806874,29.275999,1512.9871,31.777063,188,161612
36081022002,8,0,1,1,1,6,6,0,68.900002,11.160925,0.33984707,1.8173363,34.79211,2136.7522,40.597691,135,158462
36081023000,1,1,0,0,1,4,0,0,73.699997,16.158649,1.0649627,1.9459101,36.592358,3000,25.746267,92,154319
36081023200,3,2,0,6,8,3,2,0,72.400002,11.951638,0,1.8937392,36.686085,8272,41.150921,1378,153764
36081023500,13,20,3,3,5,13,14,0,90.699997,15.121772,2.2466301,3.8637581,18.605858,6560,9.0684624,519,1522511
36081023600,7,10,0,0,6,4,6,0,83.400002,14.587661,3.8819876,1.8101956,38.383617,5411.7646,39.598663,308,144383
36081023800,6,13,1,2,7,5,13,0,87.699997,13.291754,0.44612982,1.859089,38.407284,10377.049,40.977112,167,149210
36081024000,14,7,3,2,10,8,14,0,78.099998,15.755713,3.5795026,1.7917595,38.381001,21471.154,39.503147,1944,138937
36081024300,5,6,0,1,0,1,6,0,86.199997,15.268615,1.8825301,3.5758681,15.558797,2765.55,15.286625,151,1242229
36081024500,5,1,0,2,2,7,0,0,77.199997,14.522659,1.0928962,3.6580431,26.859331,11809.524,26.287359,2759,1282683
36081024700,2,1,0,0,2,0,0,0,82.400002,15.167,2.9828486,3.5739911,23.308029,2085.7144,11.497326,18,1214468
36081024900,6,11,1,5,8,3,8,0,89.199997,16.063026,0.67842605,3.6728637,26.0201,9333.333,5.4828153,499,1269182
36081025100,11,10,0,1,6,11,13,0,84.099998,15.133437,0.3327787,3.6966937,28.198198,4021.739,13.399015,394,1336379
36081025301,11,13,1,3,3,16,6,1,82.5,12.667713,1.2942192,3.7645578,18.616411,9265.3066,8.5185184,323,1410677
36081025302,2,13,1,4,3,5,10,0,90.400002,13.708137,0.38910506,3.7177639,19.566298,20307.691,7.5258703,384,1346798
36081025400,8,1,0,1,20,4,14,1,71.400002,13.132521,1.8221574,1.7917595,38.205746,861.78857,44.493271,74,130147
36081025500,8,1,2,0,2,1,3,0,84.699997,17.5,2.2075055,3.7077291,30.228855,12847.059,27.564102,36,1325737
36081025700,2,3,0,2,4,0,7,0,88.5,17.667,4.040404,3.6924779,28.633955,14034.483,9.0797539,214,1275894
36081025800,2,2,0,0,6,0,7,0,74.599998,13.808273,1.1990408,1.7917595,38.043106,1219.5122,37.614677,271,125636
36081025900,5,11,1,1,6,4,9,0,87.800003,17.312748,2.1192855,3.6674559,27.069893,11361.111,12.539582,68,1263962
36081026000,2,2,0,0,6,0,4,0,68.199997,13.478075,0.79302141,1.7917595,38.190178,420.28986,30.126848,112,125715
36081026100,20,23,0,4,7,10,21,0,90.800003,14.833245,0.55983205,3.628963,25.26634,8174.4185,9.0136051,261,1235592
36081026200,0,0,0,0,2,1,0,0,68.699997,12.833,1.3947001,1.7917595,38.161594,781.81818,37.291279,15,120689
36081026300,5,15,1,2,4,8,10,0,87.300003,15.547161,0.5,3.5823295,21.480743,5025.9741,12.82714,128,1169983
36081026400,2,0,1,1,9,0,0,0,72.400002,13.680664,2.0811655,1.7917595,37.974655,500,41.517857,27,122627
36081026500,14,17,1,3,4,13,11,0,79.199997,15.660164,0.9391876,3.4936461,10.106714,4666.667,15.403666,186,1025456
36081026600,0,2,0,2,7,1,0,0,71.699997,16.833,0,1.7917595,37.938267,2522.3879,59.055119,233,119521
36081026700,12,17,1,1,4,48,14,0,89.199997,15.909572,2.1573183,3.346364,10.633974,22395.063,22.983494,6133,757205
36081026901,43,26,1,2,1,28,15,0,88.599998,14.300754,1.3237519,3.13205,11.526011,11772.728,27.635326,231,590738
36081026902,1,6,0,0,1,8,7,0,89.099998,15.126495,0,3.1743431,11.71388,6400,26.738544,110,592496
36081027000,1,2,0,2,4,0,1,0,71.699997,16.667,0.68870523,1.7917595,38.180153,1277.7778,27.741083,25,121694
36081027100,14,11,1,0,3,22,11,0,91,12.398567,0.23769907,3.0707133,12.043165,3870.3704,19.703535,433,488882
36081027200,1,2,0,0,9,2,3,0,82.099998,15.10111,2.4715769,1.7917595,38.295715,2694.9153,45.407639,121,117741
36081027300,30,16,0,0,2,10,19,0,86.5,11.925878,0.51612903,2.7910056,12.116254,9963.4141,17.103825,411,348648
36081027400,0,1,0,0,2,0,0,0,82.199997,12,0,1.7917595,38.216145,18.181818,29.283888,10,118760
36081027500,8,11,0,0,2,35,16,0,90.099998,12.392811,0.1496334,2.7916851,11.72379,5289.855,21.485945,300,382031
36081027600,0,1,0,1,4,1,1,0,75.900002,14,2.7675277,1.7917595,38.098152,6442.623,26.429674,0,119987
36081027700,7,6,1,0,2,9,5,0,84.900002,13.688036,0.7406493,2.9325087,11.322225,5073.5293,21.858179,81,486891
36081027800,1,0,0,0,0,0,0,0,64.699997,11.677852,1.2014417,1.7917595,38.061459,161.76469,45.704468,210,113775
36081027900,10,15,0,0,2,14,14,0,76.800003,13.282036,0.46999843,3.0049837,11.277952,5102.9409,15.60713,122,572834
36081028000,3,0,1,0,3,0,0,0,72.900002,15,0,1.7578579,38.136715,499.99997,45.373135,4,114918
36081028100,14,20,0,0,5,11,6,0,80.099998,15.684571,1.482305,3.0655184,10.516385,6522.3877,25.572372,127,648277
36081028200,1,5,0,0,3,0,2,0,77.800003,16.5,0,1.6094379,38.760231,1521.1267,38.285713,2,107706
36081028300,43,9,6,3,5,35,9,1,88.300003,14.73388,1.2123049,3.20558,10.316966,20811.594,15.876834,1020,682575
36081028400,2,6,1,1,5,3,5,0,75.599998,16.066557,0.86430424,1.6893953,38.402199,1684.8484,35.836693,248,106057
36081028500,8,16,1,2,1,10,10,0,82.599998,13.396793,0.88908646,3.2693422,10.143647,5655.7378,17.008799,538,781666
36081028700,20,15,5,3,3,46,14,0,86.300003,14.691643,0.85353363,3.3527079,9.945632,9723.6846,25.650665,423,891984
36081028800,5,2,0,4,7,1,4,1,50.599998,14.278373,1.5079166,1.7917595,38.357216,353.65854,45.38715,214,107783
36081028900,73,23,3,3,2,22,18,0,82.699997,15.419659,1.362663,3.4408271,13.867658,14015.151,17.459723,842,976502
36081029100,4,16,0,1,3,11,14,1,86.300003,15.012753,0.62169723,3.5610766,22.07729,9089.1084,17.699417,830,1103092
36081029300,4,5,0,0,1,4,4,0,88,17.333,1.38217,3.6427779,26.094635,7457.627,12.190813,306,1200501
36081029400,11,9,1,2,6,3,7,0,72.400002,14.646607,2.5474101,1.7061813,38.678833,3299.27,43.949844,255,102288
36081029500,4,7,2,1,0,3,7,0,77.699997,14.107145,1.5580369,3.7316792,30.275177,3771.4285,21.484579,115,1306402
36081029700,10,1,1,0,3,1,10,0,80.800003,14.638434,1.552795,3.7295961,28.769596,10965.346,20.342613,761,1278322
36081030600,8,7,1,2,7,3,7,0,77.099998,16.225443,2.6397888,1.6094379,39.642994,6025.145,40.154068,301,99410
36081030902,7,7,0,0,3,5,8,0,81.5,12.306431,0.5719515,3.6292412,24.701159,1677.2151,17.177731,126,1122826
36081030903,17,8,2,3,3,15,10,0,86.400002,14.64946,1.6586499,3.3513374,16.199465,4823.5293,21.986383,112,927988
36081030904,4,3,1,0,3,2,4,0,73.800003,15.452629,4.1194645,3.444392,22.014849,11416.666,17.607363,1474,973127
36081031700,10,7,0,2,2,3,7,0,69.400002,14.731787,2.9440628,3.5067089,23.785624,5322.0977,28.874504,6355,986101
36081032000,9,10,0,2,5,5,11,0,75.599998,14.829305,2.6200873,1.6094379,42.75695,12791.98,31.030762,868,93545
36081032700,5,6,0,1,1,4,4,0,86.400002,13.061395,2.0720021,3.1606948,9.7531052,1758.6207,33.838383,119,741384
36081032800,3,1,0,1,3,1,2,0,67.599998,13.319966,0,1.4433596,41.30378,781.69012,50.78125,22,98604
36081032900,4,5,0,3,4,1,3,0,84.099998,16.015535,3.455987,3.0654056,10.406242,7479.29,35.944443,191,625565
36081033000,6,7,0,3,9,0,3,0,71.800003,13.1181,0.29107845,1.6094379,39.659081,544.30377,39.186085,473,99997
36081033401,1,3,0,1,7,0,1,0,60.099998,12.579137,0.30674847,1.6094379,38.901386,990.74072,48.385094,76,103587
36081033402,14,6,2,2,14,12,12,3,64.5,14.354103,0.69113807,1.6094379,38.804985,2116.0408,41.320755,1562,102583
36081033700,8,11,0,1,0,2,4,0,83.5,12.130791,0.29052876,3.0244465,9.9560204,3844.8276,28.09762,38,654633
36081033900,3,2,1,3,3,1,7,0,84.400002,12.890855,1.521684,2.938144,10.394984,6482.7588,30.193237,339,566747
36081034700,3,1,0,2,1,1,2,0,78.900002,15.484151,4.1335453,2.8260667,10.473578,3060.8108,32.237312,103,450285
36081035100,2,8,0,1,2,2,3,0,87.800003,12.19585,0.91282519,2.8255384,10.825346,1481.4814,36.798222,862,448360
36081035200,9,4,2,1,7,2,5,0,77.800003,16.681681,0,1.5111526,38.901836,3459.5745,37.536873,411,104480
36081035300,3,2,1,1,1,1,7,1,83.5,15.247435,4.6413502,2.7227445,11.168606,2633.3335,33.107452,323,373977
36081035700,2,6,0,1,4,1,3,1,72.400002,15.341103,2.7920962,2.7010078,10.730666,4968.3257,32.600258,1452,344602
36081035800,6,5,1,3,8,7,8,0,71.099998,16.226128,0,1.3862944,39.535198,1407.9602,42.342342,203,99736
36081036100,3,3,0,1,2,4,7,0,84,14.629412,1.9245574,2.6738589,11.220567,3622.9507,30.748898,38,348235
36081036300,1,2,0,6,10,1,2,3,81.599998,12.311542,1.3550136,2.6517017,11.581077,3615.3845,37.373737,50,329532
36081036500,5,4,0,0,5,1,4,0,82.300003,13.168474,2.8460543,2.4230516,11.790174,1593.7499,34.196186,6,314134
36081036600,5,7,1,1,7,3,2,1,74,15.590838,0.40453074,1.6094379,38.933323,2295.7747,37.812042,290,107774
36081036700,3,3,0,1,1,0,1,0,82,14.259019,1.9615536,2.5455947,11.246988,1040,40.525837,175,326488
36081036800,2,0,0,0,1,1,4,0,80.599998,12.754712,0,1.6094379,38.910912,386.36365,44.416458,15,107114
36081037100,2,0,0,0,1,0,0,0,73.300003,12,2.9865605,2.3711395,11.417856,215.38463,33.92857,4,308201
36081037300,3,3,0,0,2,1,3,0,79.300003,14.667012,2.1359915,2.1057813,11.998414,4053.1917,42.348755,94,280502
36081037500,44,14,5,0,3,11,12,0,86.900002,18.402901,1.8975332,2.7787986,12.357366,9633.334,32.944607,146,309214
36081037600,5,7,1,0,20,5,6,0,71.099998,10.207176,0,1.3943772,38.939655,149.15254,40.67524,8,115258
36081037700,5,5,0,1,9,0,6,0,78.400002,13.125219,1.2318305,2.7397919,12.012088,1385.965,38.075314,152,322456
36081037900,5,5,0,1,6,2,6,0,81.599998,10.858246,1.0507355,2.5551379,12.330051,1763.158,34.675007,67,288780
36081038100,0,6,0,2,1,1,4,0,75,13.168839,0.32299742,2.1733027,12.483113,1962.9629,38.716885,136,242517
36081038400,4,3,2,2,8,2,3,0,77.300003,9.2259007,0,1.603304,39.184288,3356.5217,42.437725,198,121297
36081039400,1,3,0,2,7,1,8,1,74.199997,12.036483,0,1.4288234,38.954903,649.25372,41.910736,131,116887
36081039800,3,0,0,0,5,1,0,0,70.599998,13.901225,0,1.5780367,39.021439,743.58972,36.242302,35,123128
36081039900,7,6,0,1,1,0,4,0,79.599998,13.544696,0,2.1754882,13.122699,5651.5151,46.079548,37,232408
36081040000,1,1,0,0,3,2,3,0,68.699997,8.1308155,0,1.4676014,38.540024,1210.5264,22.893259,11,123624
36081040100,5,8,0,1,3,2,16,0,87.400002,12.879051,0.12983641,2.2653863,13.112814,3134.1462,26.086956,66,243321
36081040200,2,0,0,1,2,0,0,0,66.199997,10.73835,0,1.5583218,38.196278,357.14285,49.497208,4,126954
36081040300,6,10,0,0,9,12,6,1,85.099998,14.085848,0.4621784,2.4875653,13.09192,2610.3896,37.351669,427,255201
36081040400,2,1,0,1,8,1,6,0,74.800003,13.302777,0,1.5029469,38.010712,1000,33.139225,188,133913
36081040500,25,27,3,0,7,12,31,0,86.699997,16.546616,1.3484358,2.6079791,12.979081,12960,31.552483,147,277359
36081040700,7,8,1,2,5,3,8,0,88.900002,12.863209,0,2.7109959,12.818061,2779.2207,33.553757,302,289293
36081040900,10,9,0,1,6,2,12,0,86.900002,12.418992,0,2.7740936,12.646677,2271.1865,34.933559,132,294766
36081041100,1,5,0,0,2,0,8,0,89.300003,13.403437,2.1551724,2.6127276,13.032313,698.11322,23.239437,3,281171
36081041300,4,4,0,1,0,1,6,0,86.099998,16.341761,0.65274151,2.5229146,13.260948,2573.7705,28.447809,17,249564
36081041400,1,1,0,1,3,1,3,1,77.199997,15.408304,0,1.7147436,37.904392,4324.1758,48.280804,160,135805
36081041500,4,2,0,3,3,1,10,0,87.800003,14.815116,0.78740157,2.373342,13.494416,4787.8789,44.827587,157,244323
36081042400,0,1,0,3,4,2,3,0,60.299999,12.185594,0,1.6094379,38.277035,325,40.037773,22,124324
36081042700,3,6,1,2,5,6,7,0,89,14.199749,0.86318515,2.2856295,13.790486,3060.606,32.547863,57,238132
36081043200,1,3,0,1,5,3,3,0,67.699997,16.167,0,1.6094379,38.421684,1197.8022,35.818714,132,118706
36081043400,3,0,0,0,3,0,0,0,71.699997,15.5,0,1.6702833,37.895798,1101.2657,49.88345,9,124331
36081043701,4,1,0,0,0,0,0,0,86.599998,14.385023,2.7915633,2.3889153,14.049513,11775.862,41.438625,873,232490
36081043702,7,3,0,0,3,3,7,0,88.599998,12.03095,1.0309278,2.4363172,13.805186,1763.8889,35.200531,27,241475
36081043900,8,15,0,0,1,7,9,0,89.099998,16.008387,2.228164,2.3805745,13.688458,3124.9998,38.16156,352,240154
36081044000,2,1,0,0,6,0,5,0,76.400002,14.173784,0,1.7530915,38.063705,1342.4658,33.631714,43,138160
36081044301,2,0,0,0,3,0,4,0,79.300003,14.242025,0.28719127,2.434567,13.543941,1352.9412,18.074478,24,247033
36081044302,4,8,0,0,3,0,5,0,89.400002,14.013103,2.2492128,2.6734526,13.276204,6364.4858,34.589195,447,266131
36081044400,54,13,0,3,3,10,7,0,86.599998,17.100018,5.7937428,1.7828069,38.187088,6612.0693,43.295292,650,138776
36081044601,62,12,3,10,11,17,13,1,91.400002,15.859036,5.0951087,1.7917595,38.312599,36093.023,47.002651,1651,137335
36081044602,11,14,0,3,7,17,9,0,86.800003,16.353966,0.90211998,1.7917595,38.338509,9227.2725,29.173508,402,143496
36081044800,4,2,0,0,1,2,3,0,71.5,13.483871,2.4479804,1.8203202,38.246666,1362.5,42.334633,836,143827
36081045000,3,4,0,1,0,1,7,0,79.400002,14.63545,3.1230481,1.9357293,36.966553,1363.6364,42.181816,17,151534
36081045200,0,0,0,1,0,1,0,0,54.900002,13.667,0.77942323,1.8139635,38.183002,7096.3857,42.857143,1331,145526
36081045400,6,2,0,4,1,13,8,0,72.800003,14.238869,0,1.7917595,38.356407,3898.8762,36.661701,244,142060
36081045500,5,6,1,2,2,9,7,2,84.5,11.881331,0.24036536,2.6276176,13.553561,4949.1523,29.669472,169,250378
36081045600,1,0,0,0,2,3,0,0,68.199997,13.333,0,1.7917595,38.388008,548.38708,33.163265,169,147976
